question,answer,language
What is the annual leave policy?,Employees are entitled to 18 days of paid annual leave.,en
ما هي سياسة الإجازات السنوية؟,يحق للموظفين الحصول على 18 يومًا من الإجازة السنوية مدفوعة الأجر.,ar
What is the sick leave policy?,Employees are entitled to 10 days of paid sick leave per year.,en
ما هي سياسة الإجازة المرضية؟,يحق للموظفين الحصول على 10 أيام إجازة مرضية مدفوعة الأجر سنويًا.,ar
How do I apply for leave?,Submit a leave request through the HR portal at least 3 days in advance.,en
كيف يمكنني التقديم للحصول على إجازة؟,قدم طلب الإجازة من خلال بوابة الموارد البشرية قبل 3 أيام على الأقل.,ar
What are the working hours?,"Standard working hours are 9 AM to 6 PM, Sunday to Thursday",en
ما هي ساعات العمل؟,ساعات العمل القياسية من 9 صباحًا إلى 6 مساءً من الأحد إلى الخميس.,ar
How do I update my personal details?,Update your details through the employee self-service portal.,en
كيف يمكنني تحديث بياناتي الشخصية؟,قم بتحديث بياناتك من خلال بوابة الخدمة الذاتية للموظفين.,ar
How do I contact HR for queries?,You can email hr@company.com or use the HR chat portal.,en
كيف يمكنني التواصل مع قسم الموارد البشرية للاستفسارات؟,يمكنك إرسال بريد إلكتروني إلى hr@company.com أو استخدام بوابة الدردشة الخاصة بالموارد البشرية.,ar
What are the company’s benefits?,"Benefits include health insurance, annual leave, and performance bonuses.",en
ما هي مزايا الشركة؟,تشمل المزايا التأمين الصحي والإجازة السنوية ومكافآت الأداء.,ar
What is the maternity leave policy?,Female employees are entitled to 90 days of paid maternity leave.,en
ما هي سياسة إجازة الأمومة؟,يحق للموظفات الحصول على 90 يومًا من إجازة الأمومة مدفوعة الأجر.,ar
How is payroll processed?,Payroll is processed on the last working day of every month.,en
كيف تتم معالجة الرواتب؟,يتم معالجة الرواتب في آخر يوم عمل من كل شهر.,ar
How can I access my payslip?,You can download your payslip from the employee portal.,en
كيف يمكنني الوصول إلى كشف راتبي؟,يمكنك تنزيل كشف الراتب من بوابة الموظف.,ar
What training programs are available?,The company offers onboarding and skill development programs.,en
ما هي برامج التدريب المتاحة؟,تقدم الشركة برامج التوجيه وتطوير المهارات.,ar
What is the policy for remote work?,Employees can work remotely up to 2 days per week with manager approval.,en
ما هي سياسة العمل عن بعد؟,يمكن للموظفين العمل عن بعد لمدة يومين في الأسبوع بموافقة المدير.,ar
How do I resign from the company?,Submit your resignation through the HR portal with a 30-day notice.,en
كيف يمكنني الاستقالة من الشركة؟,قدّم استقالتك من خلال بوابة الموارد البشرية مع إشعار مدته 30 يومًا.,ar
What is the probation period?,The standard probation period is 3 months.,en
ما هي فترة التجربة؟,فترة التجربة القياسية هي 3 أشهر.,ar
How do I apply for internal job openings?,Check the internal portal and submit your application for open positions.,en
كيف يمكنني التقدم للوظائف الداخلية الشاغرة؟,تحقق من البوابة الداخلية وقدّم طلبك للوظائف المتاحة.,ar
What is the dress code?,Business casual is the standard dress code.,en
ما هو قواعد اللباس؟,الزي الرسمي للعمل هو الأعمال غير الرسمية.,ar
How is performance evaluated?,Performance is evaluated annually based on KPIs and manager feedback.,en
كيف يتم تقييم الأداء؟,يتم تقييم الأداء سنويًا بناءً على مؤشرات الأداء الرئيسية وتعليقات المدير.,ar
What is the policy for late attendance?,Employees must inform their manager if they are late; repeated lateness may affect appraisal.,en
